"Path","HasDocblock","HasSpanish"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\UserProfileController.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Middleware\AdminAuditMiddleware.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Middleware\AdminOnly.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Middleware\AdminSecurityHeaders.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Middleware\AdminSessionTimeout.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Middleware\AuthRateLimitMiddleware.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Middleware\AuthStateMiddleware.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Middleware\CheckIpBan.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Middleware\CheckPermission.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Middleware\EnhancedAuthMiddleware.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Middleware\HandleInertiaRequests.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Middleware\RedirectIfAuthenticated.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Middleware\RoleMiddleware.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Middleware\SecurityHeadersMiddleware.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Middleware\SessionTimeout.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Requests\Auth\LoginRequest.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Requests\ProfileUpdateRequest.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Requests\SearchRequest.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\AdminAuditLog.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\AdminDashboardWidget.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\AdminNotification.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\AdminSetting.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\Category.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\Comment.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\CommentInteraction.php","False","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\CommentReport.php","False","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\IpBan.php","False","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\MLInteractionLog.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\MLPostVector.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\MLUserProfile.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\Permission.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\Post.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\Project.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\Role.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\SearchAnalytics.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\Service.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\ServiceFavorite.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\Setting.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\Tag.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\User.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\UserBan.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\UserFollow.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\UserInteraction.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Notifications\ResetPasswordNotification.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Policies\CommentPolicy.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Policies\PostPolicy.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Policies\UserPolicy.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Providers\AppServiceProvider.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Services\ContentAnalysisService.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Services\MLRecommendationService.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Services\SearchService.php","True","False"
